dt,dt_iso,city_id,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_24h,rain_today,snow_1h,snow_3h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon
1349096400,2012-10-01 13:00:00 +0000 UTC,5128581,,,,288.22,286.15,294.26,1012,,,58,7,260,,,,,,,,,20,801,Clouds,few clouds,02d
1349186400,2012-10-02 14:00:00 +0000 UTC,5128581,,,,290.15,288.15,294.82,1012,,,51,5,270,,,,,,,,,20,801,Clouds,few clouds,02d
1349190000,2012-10-02 15:00:00 +0000 UTC,5128581,,,,291.32,289.82,296.48,1012,,,52,5,270,,,,,,,,,20,801,Clouds,few clouds,02d
1349193600,2012-10-02 16:00:00 +0000 UTC,5128581,,,,291.78,290.15,295.93,0,,,0,2,303,,,,0,,,,,92,800,Clear,sky is clear,02d
1349197200,2012-10-02 17:00:00 +0000 UTC,5128581,,,,292.74,291.15,296.48,0,,,0,1,285,,,,0,,,,,92,800,Clear,sky is clear,02d
1349200800,2012-10-02 18:00:00 +0000 UTC,5128581,,,,293.82,293.15,295.15,1011,,,46,6,250,,,,,,,,,40,802,Clouds,scattered clouds,03d
1349204400,2012-10-02 19:00:00 +0000 UTC,5128581,,,,294.08,293.15,295.15,0,,,0,1,288,,,,0,,,,,0,800,Clear,sky is clear,02d
1349208000,2012-10-02 20:00:00 +0000 UTC,5128581,,,,294.72,294.15,295.37,1012,,,43,5,240,,,,,,,,,40,802,Clouds,scattered clouds,03d
1349211600,2012-10-02 21:00:00 +0000 UTC,5128581,,,,294.85,293.15,295.93,0,,,0,1,269,,,,0,,,,,0,800,Clear,sky is clear,02d
1349215200,2012-10-02 22:00:00 +0000 UTC,5128581,,,,293.2,291.48,295.15,1012,,,43,5,270,,,,,,,,,40,802,Clouds,scattered clouds,03d
1349218800,2012-10-02 23:00:00 +0000 UTC,5128581,,,,290.98,287.59,294.15,1013,,,46,5,260,,,,,,,,,75,803,Clouds,broken clouds,04n
1349222400,2012-10-03 00:00:00 +0000 UTC,5128581,,,,289.84,286.15,294.15,1014,,,46,4,270,,,,,,,,,75,803,Clouds,broken clouds,04n
1349226000,2012-10-03 01:00:00 +0000 UTC,5128581,,,,288.99,285.15,294.15,1014,,,46,4,250,,,,,,,,,1,800,Clear,sky is clear,01n
1349229600,2012-10-03 02:00:00 +0000 UTC,5128581,,,,288.8,285.15,294.15,1015,,,46,4,270,,,,,,,,,75,803,Clouds,broken clouds,04n
1349233200,2012-10-03 03:00:00 +0000 UTC,5128581,,,,288.6,285.15,292.15,1015,,,59,0,0,,,,,,,,,75,803,Clouds,broken clouds,04n
1349236800,2012-10-03 04:00:00 +0000 UTC,5128581,,,,288.54,285.15,292.15,1015,,,55,2,330,,,,,,,,,75,803,Clouds,broken clouds,04n
1349240400,2012-10-03 05:00:00 +0000 UTC,5128581,,,,288.6,285.15,292.15,1015,,,52,1,230,,,,,,,,,90,804,Clouds,overcast clouds,04n
1349244000,2012-10-03 06:00:00 +0000 UTC,5128581,,,,288.85,286.15,292.15,1015,,,55,3,210,,,,,,,,,75,803,Clouds,broken clouds,04n
1349247600,2012-10-03 07:00:00 +0000 UTC,5128581,,,,289.05,286.15,292.15,1015,,,52,2,230,,,,,,,,,90,804,Clouds,overcast clouds,04n
1349251200,2012-10-03 08:00:00 +0000 UTC,5128581,,,,289.17,287.15,292.15,1015,,,63,0,0,,,,,,,,,90,804,Clouds,overcast clouds,04n
1349254800,2012-10-03 09:00:00 +0000 UTC,5128581,,,,289.36,287.15,292.15,1015,,,52,0,0,,,,,,,,,90,804,Clouds,overcast clouds,04n
1349258400,2012-10-03 10:00:00 +0000 UTC,5128581,,,,289.5,287.15,292.15,1016,,,59,0,0,,,,,,,,,90,804,Clouds,overcast clouds,04n
1349262000,2012-10-03 11:00:00 +0000 UTC,5128581,,,,289.56,287.15,292.15,1016,,,100,0,0,,,,,,,,,90,804,Clouds,overcast clouds,04d
1349269200,2012-10-03 13:00:00 +0000 UTC,5128581,,,,291.18,289.15,293.15,1017,,,63,2,160,,,,,,,,,90,804,Clouds,overcast clouds,04d
1349272800,2012-10-03 14:00:00 +0000 UTC,5128581,,,,292.88,290.15,295.93,1017,,,60,2,130,,,,,,,,,90,804,Clouds,overcast clouds,04d
1349283600,2012-10-03 17:00:00 +0000 UTC,5128581,,,,291.03,289.15,292.59,1017,,,72,4,110,,,,,,,,,35,500,Rain,light rain,10d
1349283600,2012-10-03 17:00:00 +0000 UTC,5128581,,,,291.03,289.15,292.59,1017,,,72,4,110,,,,,,,,,35,501,Rain,moderate rain,10d
1349283600,2012-10-03 17:00:00 +0000 UTC,5128581,,,,291.03,289.15,292.59,1017,,,72,4,110,,,,,,,,,35,701,Mist,mist,50d
1349287200,2012-10-03 18:00:00 +0000 UTC,5128581,,,,290.7,289.15,292.59,1016,,,82,3,80,,,,,,,,,100,500,Rain,light rain,10d
1349287200,2012-10-03 18:00:00 +0000 UTC,5128581,,,,290.7,289.15,292.59,1016,,,82,3,80,,,,,,,,,100,701,Mist,mist,50d
