,Date,Ride Count
0,2014-01-01,420810
1,2014-01-02,359958
2,2014-01-03,275470
3,2014-01-04,417499
4,2014-01-05,388542
5,2014-01-06,395445
6,2014-01-07,460052
7,2014-01-08,473611
8,2014-01-09,479714
9,2014-01-10,507732
10,2014-01-11,511172
11,2014-01-12,450487
12,2014-01-13,419698
13,2014-01-14,454108
14,2014-01-15,466443
15,2014-01-16,482037
16,2014-01-17,490852
17,2014-01-18,507033
18,2014-01-19,462238
19,2014-01-20,378450
20,2014-01-21,255518
21,2014-01-22,377773
22,2014-01-23,462469
23,2014-01-24,509509
24,2014-01-25,530551
25,2014-01-26,457026
26,2014-01-27,418863
27,2014-01-28,468729
28,2014-01-29,477984
29,2014-01-30,495971
30,2014-01-31,526748
31,2014-02-01,533783
32,2014-02-02,464225
33,2014-02-03,382517
34,2014-02-04,454444
35,2014-02-05,413853
36,2014-02-06,478790
37,2014-02-07,512218
38,2014-02-08,549967
39,2014-02-09,466492
40,2014-02-10,435911
41,2014-02-11,489373
42,2014-02-12,481968
43,2014-02-13,326187
44,2014-02-14,472229
45,2014-02-15,491375
46,2014-02-16,457332
47,2014-02-17,391723
48,2014-02-18,419655
49,2014-02-19,446126
50,2014-02-20,466020
51,2014-02-21,503515
52,2014-02-22,522080
53,2014-02-23,442458
54,2014-02-24,439480
55,2014-02-25,472383
56,2014-02-26,492982
57,2014-02-27,512342
58,2014-02-28,544363
59,2014-03-01,554906
60,2014-03-02,462065
61,2014-03-03,463982
62,2014-03-04,499349
63,2014-03-05,508381
64,2014-03-06,531137
65,2014-03-07,547177
66,2014-03-08,551574
67,2014-03-09,473451
68,2014-03-10,442200
69,2014-03-11,456983
70,2014-03-12,483326
71,2014-03-13,549191
72,2014-03-14,539176
73,2014-03-15,547916
74,2014-03-16,485008
75,2014-03-17,433321
76,2014-03-18,469975
77,2014-03-19,489567
78,2014-03-20,500070
79,2014-03-21,516535
80,2014-03-22,534441
81,2014-03-23,480744
82,2014-03-24,443322
83,2014-03-25,461531
84,2014-03-26,502757
85,2014-03-27,507907
86,2014-03-28,522404
87,2014-03-29,574530
88,2014-03-30,462771
89,2014-03-31,432430
90,2014-04-01,462503
91,2014-04-02,483841
92,2014-04-03,499912
93,2014-04-04,544519
94,2014-04-05,543175
95,2014-04-06,475267
96,2014-04-07,460614
97,2014-04-08,467018
98,2014-04-09,484663
99,2014-04-10,498870
100,2014-04-11,506025
101,2014-04-12,540202
102,2014-04-13,472041
103,2014-04-14,419268
104,2014-04-15,481424
105,2014-04-16,495438
106,2014-04-17,508415
107,2014-04-18,514893
108,2014-04-19,483916
109,2014-04-20,429066
110,2014-04-21,421347
111,2014-04-22,463407
112,2014-04-23,501335
113,2014-04-24,505056
114,2014-04-25,526282
115,2014-04-26,540090
116,2014-04-27,473210
117,2014-04-28,436246
118,2014-04-29,483147
119,2014-04-30,497569
120,2014-05-01,492691
121,2014-05-02,516985
122,2014-05-03,544063
123,2014-05-04,475789
124,2014-05-05,461342
125,2014-05-06,483245
126,2014-05-07,484552
127,2014-05-08,508104
128,2014-05-09,523936
129,2014-05-10,527537
130,2014-05-11,454120
131,2014-05-12,437492
132,2014-05-13,473044
133,2014-05-14,466666
134,2014-05-15,495003
135,2014-05-16,515834
136,2014-05-17,506831
137,2014-05-18,473932
138,2014-05-19,452923
139,2014-05-20,472199
140,2014-05-21,483979
141,2014-05-22,489262
142,2014-05-23,495859
143,2014-05-24,413311
144,2014-05-25,378073
145,2014-05-26,336173
146,2014-05-27,432969
147,2014-05-28,472420
148,2014-05-29,489739
149,2014-05-30,503977
150,2014-05-31,511991
151,2014-06-01,435163
152,2014-06-02,428122
153,2014-06-03,462670
154,2014-06-04,482348
155,2014-06-05,501694
